target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,531,33,291,304,402,286,111,318,174,198,140,54,122,208,278,92
10,1746,98,999,1054,1351,955,334,2027,419,464,441,94,387,670,977,445
11,1816,123,1129,1172,1380,1068,404,2039,458,540,535,111,442,803,1113,574
12,1717,91,965,1034,1347,923,330,1790,402,439,435,88,363,664,951,398
13,1812,113,1089,1136,1365,1013,376,2030,435,520,489,123,406,739,1056,505
14,1735,93,993,1044,1340,950,335,1889,405,458,429,101,356,671,970,433
15,1729,104,1013,1065,1307,966,354,1875,408,276,453,115,379,682,984,457
16,1756,96,998,1043,1364,943,341,1945,406,317,447,88,368,676,964,457
17,1503,73,819,922,1158,787,283,1620,324,388,369,101,312,557,789,326
18,1718,98,986,1040,1289,926,343,1797,402,462,433,87,372,661,966,424
19,1634,91,942,984,1265,893,323,1733,377,432,422,85,354,631,904,402
1,1674,90,929,273,1279,834,305,1722,164,190,411,57,327,619,894,382
20,1673,86,937,979,1282,872,316,1782,383,335,419,103,349,636,885,406
2,1746,90,285,294,1345,915,331,1873,176,192,434,57,355,657,269,432
3,1861,112,1098,1157,1437,1036,374,2053,446,532,505,83,407,748,1069,525
4,1828,111,1038,1185,1427,1069,361,2224,466,533,507,71,387,717,1097,495
5,1944,130,1237,1301,1554,1154,440,2318,504,584,558,92,476,816,1226,248
6,1851,109,1096,1154,1413,1020,371,2065,453,490,485,79,402,735,1063,515
7,1977,126,1259,1314,1545,1176,439,2386,504,586,322,104,475,536,1210,608
8,1813,116,1091,1152,1395,1032,366,2263,463,536,485,107,400,729,1061,508
9,1786,116,1093,1168,1421,1022,370,2027,440,515,485,105,402,735,1052,500
╗¨¤▀,525,30,283,293,391,279,108,300,174,192,134,61,119,202,270,93
