property_name,rank,group,feature_selection,fs_param,model,train_r2,train_rmse,test_r2,test_rmse,dataset_tag,plot_path,best_param_json
a*,1,selected,cars,120,pls,0.6069134976768751,1.8131075783989308,0.6407962194894027,2.4090128306903913,a_/SELECTED_20260508_070214,D:\HXR\NIR\python_nir_project\result\model\pls\SELECTED_20260508_070214\a_\SELECTED_20260508_070214_pls.png,"{""cv_fold"": 10, ""n_components"": 3}"
a*,2,selected,cars,120,pcr,0.5207839025064311,2.0019130310325357,0.5998745681567057,2.542533838399364,a_/SELECTED_20260508_070214,D:\HXR\NIR\python_nir_project\result\model\pcr\SELECTED_20260508_070214\a_\SELECTED_20260508_070214_pcr.png,"{""n_components"": 34}"
a*,3,selected,cars,120,svr,0.6796409977775912,1.6368088842579784,0.6340344357176566,2.431581187857552,a_/SELECTED_20260508_070214,D:\HXR\NIR\python_nir_project\result\model\svr\SELECTED_20260508_070214\a_\SELECTED_20260508_070214_svr.png,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,4,selected,cars,120,rf,0.8158049521486802,1.241133455336597,0.38920381899081125,3.1413535679131037,a_/SELECTED_20260508_070214,D:\HXR\NIR\python_nir_project\result\model\rf\SELECTED_20260508_070214\a_\SELECTED_20260508_070214_rf.png,"{""min_samples_leaf"": 5, ""n_estimators"": 200}"
a*,5,selected,cars,120,gpr,1.0,1.3120189209827552e-11,-7.217986437799347,11.522623557963554,a_/SELECTED_20260508_070214,D:\HXR\NIR\python_nir_project\result\model\gpr\SELECTED_20260508_070214\a_\SELECTED_20260508_070214_gpr.png,"{""kernel"": ""squaredexponential""}"
a*,6,selected,cars,120,knn,0.9999999999981484,3.935155840227836e-06,0.7170341607039953,2.13813768554392,a_/SELECTED_20260508_070214,D:\HXR\NIR\python_nir_project\result\model\knn\SELECTED_20260508_070214\a_\SELECTED_20260508_070214_knn.png,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,7,selected,cars,120,cnn,-0.003695327844973173,2.8972132233481718,-0.7242308740013492,5.277963376303946,a_/SELECTED_20260508_070214,D:\HXR\NIR\python_nir_project\result\model\cnn\SELECTED_20260508_070214\a_\SELECTED_20260508_070214_cnn.png,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,8,selected,cars,120,xgb,0.995390635000389,0.19633605360384948,0.6996480312025775,2.202844825042077,a_/SELECTED_20260508_070214,D:\HXR\NIR\python_nir_project\result\model\xgb\SELECTED_20260508_070214\a_\SELECTED_20260508_070214_xgb.png,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}"
a*,9,selected,cars,150,pls,0.6288986085592526,1.7616750305504625,0.6737051137414147,2.29601011736237,a_/SELECTED_20260508_072832,D:\HXR\NIR\python_nir_project\result\model\pls\SELECTED_20260508_072832\a_\SELECTED_20260508_072832_pls.png,"{""cv_fold"": 10, ""n_components"": 3}"
a*,10,selected,cars,150,pcr,0.5446467121574519,1.9514334533534092,0.6275786823117988,2.4529343777631345,a_/SELECTED_20260508_072832,D:\HXR\NIR\python_nir_project\result\model\pcr\SELECTED_20260508_072832\a_\SELECTED_20260508_072832_pcr.png,"{""n_components"": 23}"
a*,11,selected,cars,150,svr,0.7152900878013133,1.5430528504706353,0.7081264755897918,2.171530906337496,a_/SELECTED_20260508_072832,D:\HXR\NIR\python_nir_project\result\model\svr\SELECTED_20260508_072832\a_\SELECTED_20260508_072832_svr.png,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,12,selected,cars,150,rf,0.9155493836724786,0.8403900835608575,0.34926258444715486,3.2424370462575056,a_/SELECTED_20260508_072832,D:\HXR\NIR\python_nir_project\result\model\rf\SELECTED_20260508_072832\a_\SELECTED_20260508_072832_rf.png,"{""min_samples_leaf"": 1, ""n_estimators"": 100}"
a*,13,selected,cars,150,gpr,1.0,1.3119798177948596e-11,-7.217986437799347,11.522623557963554,a_/SELECTED_20260508_072832,D:\HXR\NIR\python_nir_project\result\model\gpr\SELECTED_20260508_072832\a_\SELECTED_20260508_072832_gpr.png,"{""kernel"": ""squaredexponential""}"
a*,14,selected,cars,150,knn,0.3720775755128575,2.2915667067207846,0.6827907874410108,2.2638182651325396,a_/SELECTED_20260508_072832,D:\HXR\NIR\python_nir_project\result\model\knn\SELECTED_20260508_072832\a_\SELECTED_20260508_072832_knn.png,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""uniform""}"
a*,15,selected,cars,150,cnn,0.4528782147604278,2.1390528325668106,0.26606295146366254,3.443483998691728,a_/SELECTED_20260508_072832,D:\HXR\NIR\python_nir_project\result\model\cnn\SELECTED_20260508_072832\a_\SELECTED_20260508_072832_cnn.png,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,16,selected,cars,150,xgb,0.9973208307462603,0.14968544842855455,0.6877714596081401,2.2459752342114356,a_/SELECTED_20260508_072832,D:\HXR\NIR\python_nir_project\result\model\xgb\SELECTED_20260508_072832\a_\SELECTED_20260508_072832_xgb.png,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}"
a*,17,selected,pca,40,pls,0.6242215754789753,1.772741566995171,0.7929467711119926,1.8289829941577824,a_/SELECTED_20260508_075430,D:\HXR\NIR\python_nir_project\result\model\pls\SELECTED_20260508_075430\a_\SELECTED_20260508_075430_pls.png,"{""cv_fold"": 10, ""n_components"": 3}"
a*,18,selected,pca,40,pcr,0.611613556242234,1.802235495154516,0.7632809133059675,1.9556237458445758,a_/SELECTED_20260508_075430,D:\HXR\NIR\python_nir_project\result\model\pcr\SELECTED_20260508_075430\a_\SELECTED_20260508_075430_pcr.png,"{""n_components"": 12}"
a*,19,selected,pca,40,svr,0.6336208873664193,1.750430454445027,0.7497578047320325,2.0107076688477523,a_/SELECTED_20260508_075430,D:\HXR\NIR\python_nir_project\result\model\svr\SELECTED_20260508_075430\a_\SELECTED_20260508_075430_svr.png,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,20,selected,pca,40,rf,0.941796315044674,0.697677549538525,0.7948433906156934,1.8205869280206528,a_/SELECTED_20260508_075430,D:\HXR\NIR\python_nir_project\result\model\rf\SELECTED_20260508_075430\a_\SELECTED_20260508_075430_rf.png,"{""min_samples_leaf"": 1, ""n_estimators"": 200}"
a*,21,selected,pca,40,gpr,1.0,1.3121806881325882e-11,-7.217986437799347,11.522623557963554,a_/SELECTED_20260508_075430,D:\HXR\NIR\python_nir_project\result\model\gpr\SELECTED_20260508_075430\a_\SELECTED_20260508_075430_gpr.png,"{""kernel"": ""squaredexponential""}"
a*,22,selected,pca,40,knn,1.0,0.0,0.8243512936699102,1.684578065131626,a_/SELECTED_20260508_075430,D:\HXR\NIR\python_nir_project\result\model\knn\SELECTED_20260508_075430\a_\SELECTED_20260508_075430_knn.png,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,23,selected,pca,40,cnn,0.5748743589181091,1.885550451962234,0.3992179588550073,3.1154955460576486,a_/SELECTED_20260508_075430,D:\HXR\NIR\python_nir_project\result\model\cnn\SELECTED_20260508_075430\a_\SELECTED_20260508_075430_cnn.png,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50, 50], ""max_iter"": 1000}"
a*,24,selected,pca,40,xgb,0.9999643143783216,0.017275321597617143,0.8228395636613397,1.6918117399431554,a_/SELECTED_20260508_075430,D:\HXR\NIR\python_nir_project\result\model\xgb\SELECTED_20260508_075430\a_\SELECTED_20260508_075430_xgb.png,"{""learning_rate"": 0.3, ""max_depth"": 3, ""n_estimators"": 200}"
a*,25,selected,pca,80,pls,0.6577802393320606,1.6917338883875823,0.8206343807403429,1.7023084868487426,a_/SELECTED_20260508_081846,D:\HXR\NIR\python_nir_project\result\model\pls\SELECTED_20260508_081846\a_\SELECTED_20260508_081846_pls.png,"{""cv_fold"": 10, ""n_components"": 2}"
a*,26,selected,pca,80,pcr,0.6641486051135661,1.6759192355315855,0.8275575372903808,1.669132340520361,a_/SELECTED_20260508_081846,D:\HXR\NIR\python_nir_project\result\model\pcr\SELECTED_20260508_081846\a_\SELECTED_20260508_081846_pcr.png,"{""n_components"": 19}"
a*,27,selected,pca,80,svr,0.6629514848897642,1.6789034306392447,0.6887958938304115,2.2422876400374068,a_/SELECTED_20260508_081846,D:\HXR\NIR\python_nir_project\result\model\svr\SELECTED_20260508_081846\a_\SELECTED_20260508_081846_svr.png,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,28,selected,pca,80,rf,0.9468292213223345,0.6668313629490336,0.8072596977197332,1.7646351736772274,a_/SELECTED_20260508_081846,D:\HXR\NIR\python_nir_project\result\model\rf\SELECTED_20260508_081846\a_\SELECTED_20260508_081846_rf.png,"{""min_samples_leaf"": 1, ""n_estimators"": 100}"
a*,29,selected,pca,80,gpr,1.0,1.3117644064161701e-11,-7.217986437799347,11.522623557963554,a_/SELECTED_20260508_081846,D:\HXR\NIR\python_nir_project\result\model\gpr\SELECTED_20260508_081846\a_\SELECTED_20260508_081846_gpr.png,"{""kernel"": ""squaredexponential""}"
a*,30,selected,pca,80,knn,0.9999999999992216,2.5514593584032175e-06,0.7911852452235003,1.8367466437716022,a_/SELECTED_20260508_081846,D:\HXR\NIR\python_nir_project\result\model\knn\SELECTED_20260508_081846\a_\SELECTED_20260508_081846_knn.png,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,31,selected,pca,80,cnn,0.6495738503878058,1.7118975123657545,0.6578112052353817,2.351264873245838,a_/SELECTED_20260508_081846,D:\HXR\NIR\python_nir_project\result\model\cnn\SELECTED_20260508_081846\a_\SELECTED_20260508_081846_cnn.png,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50, 50], ""max_iter"": 1000}"
a*,32,selected,pca,80,xgb,0.9681800246042516,0.5158571176681446,0.860689621571567,1.5002388222350775,a_/SELECTED_20260508_081846,D:\HXR\NIR\python_nir_project\result\model\xgb\SELECTED_20260508_081846\a_\SELECTED_20260508_081846_xgb.png,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,33,selected,pca,120,pls,0.6708828884403969,1.6590319081364095,0.8345253578761284,1.635062615925411,a_/SELECTED_20260508_084653,D:\HXR\NIR\python_nir_project\result\model\pls\SELECTED_20260508_084653\a_\SELECTED_20260508_084653_pls.png,"{""cv_fold"": 10, ""n_components"": 2}"
a*,34,selected,pca,120,pcr,0.6808338184133613,1.633758805759878,0.8393465108276136,1.6110675300112125,a_/SELECTED_20260508_084653,D:\HXR\NIR\python_nir_project\result\model\pcr\SELECTED_20260508_084653\a_\SELECTED_20260508_084653_pcr.png,"{""n_components"": 20}"
a*,35,selected,pca,120,svr,0.6940799470936186,1.599497185789541,0.719872376679413,2.1273876415239243,a_/SELECTED_20260508_084653,D:\HXR\NIR\python_nir_project\result\model\svr\SELECTED_20260508_084653\a_\SELECTED_20260508_084653_svr.png,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,36,selected,pca,120,rf,0.9464489018390506,0.6692119663311159,0.8320126092777297,1.6474301350645177,a_/SELECTED_20260508_084653,D:\HXR\NIR\python_nir_project\result\model\rf\SELECTED_20260508_084653\a_\SELECTED_20260508_084653_rf.png,"{""min_samples_leaf"": 1, ""n_estimators"": 100}"
a*,37,selected,pca,120,gpr,1.0,6.702217444093252e-11,0.8851687817270231,1.3620675609562745,a_/SELECTED_20260508_084653,D:\HXR\NIR\python_nir_project\result\model\gpr\SELECTED_20260508_084653\a_\SELECTED_20260508_084653_gpr.png,"{""kernel"": ""matern32""}"
a*,38,selected,pca,120,knn,1.0,0.0,0.7955345815987883,1.8175174803566891,a_/SELECTED_20260508_084653,D:\HXR\NIR\python_nir_project\result\model\knn\SELECTED_20260508_084653\a_\SELECTED_20260508_084653_knn.png,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,39,selected,pca,120,cnn,0.6724598078779753,1.6550526241005161,0.7481480395089077,2.01716457064821,a_/SELECTED_20260508_084653,D:\HXR\NIR\python_nir_project\result\model\cnn\SELECTED_20260508_084653\a_\SELECTED_20260508_084653_cnn.png,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,40,selected,pca,120,xgb,0.9773735794002839,0.43499817550151565,0.8773352702110409,1.4077596625902653,a_/SELECTED_20260508_084653,D:\HXR\NIR\python_nir_project\result\model\xgb\SELECTED_20260508_084653\a_\SELECTED_20260508_084653_xgb.png,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,41,selected,pca,160,pls,0.7164623446092644,1.5398729120383015,0.8491994208591219,1.560882345081734,a_/SELECTED_20260508_091219,D:\HXR\NIR\python_nir_project\result\model\pls\SELECTED_20260508_091219\a_\SELECTED_20260508_091219_pls.png,"{""cv_fold"": 10, ""n_components"": 3}"
a*,42,selected,pca,160,pcr,0.6772095056278733,1.6430087486482832,0.8458117117414411,1.5783174467210723,a_/SELECTED_20260508_091219,D:\HXR\NIR\python_nir_project\result\model\pcr\SELECTED_20260508_091219\a_\SELECTED_20260508_091219_pcr.png,"{""n_components"": 5}"
a*,43,selected,pca,160,svr,0.7413630345087852,1.4707024149548447,0.8126528655090356,1.7397714156190585,a_/SELECTED_20260508_091219,D:\HXR\NIR\python_nir_project\result\model\svr\SELECTED_20260508_091219\a_\SELECTED_20260508_091219_svr.png,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,44,selected,pca,160,rf,0.949808872009891,0.6478776309941154,0.8404474438215872,1.605537844512735,a_/SELECTED_20260508_091219,D:\HXR\NIR\python_nir_project\result\model\rf\SELECTED_20260508_091219\a_\SELECTED_20260508_091219_rf.png,"{""min_samples_leaf"": 1, ""n_estimators"": 100}"
a*,45,selected,pca,160,gpr,1.0,6.823032567963538e-11,0.875238073240535,1.4197428829181067,a_/SELECTED_20260508_091219,D:\HXR\NIR\python_nir_project\result\model\gpr\SELECTED_20260508_091219\a_\SELECTED_20260508_091219_gpr.png,"{""kernel"": ""matern32""}"
a*,46,selected,pca,160,knn,0.9999999999996132,1.7986594058273816e-06,0.7998035361284386,1.7984437741866908,a_/SELECTED_20260508_091219,D:\HXR\NIR\python_nir_project\result\model\knn\SELECTED_20260508_091219\a_\SELECTED_20260508_091219_knn.png,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,47,selected,pca,160,cnn,0.7165127566454532,1.5397360138551093,0.8502893703126149,1.5552312788126144,a_/SELECTED_20260508_091219,D:\HXR\NIR\python_nir_project\result\model\cnn\SELECTED_20260508_091219\a_\SELECTED_20260508_091219_cnn.png,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""max_iter"": 1000}"
a*,48,selected,pca,160,xgb,0.9997119892383102,0.04907766200368132,0.8515433759296627,1.5487041206673198,a_/SELECTED_20260508_091219,D:\HXR\NIR\python_nir_project\result\model\xgb\SELECTED_20260508_091219\a_\SELECTED_20260508_091219_xgb.png,"{""learning_rate"": 0.3, ""max_depth"": 3, ""n_estimators"": 100}"
a*,49,selected,pca,200,pls,0.7972292505175698,1.3022134019831806,0.8955141390674461,1.2992640636197381,a_/SELECTED_20260508_093715,D:\HXR\NIR\python_nir_project\result\model\pls\SELECTED_20260508_093715\a_\SELECTED_20260508_093715_pls.png,"{""cv_fold"": 10, ""n_components"": 4}"
a*,50,selected,pca,200,pcr,0.7201597821441377,1.5297997040635782,0.8802374364511499,1.3910066476547678,a_/SELECTED_20260508_093715,D:\HXR\NIR\python_nir_project\result\model\pcr\SELECTED_20260508_093715\a_\SELECTED_20260508_093715_pcr.png,"{""n_components"": 7}"
a*,51,selected,pca,200,svr,0.7984249197679835,1.2983683735063376,0.8606376254253812,1.5005187703644327,a_/SELECTED_20260508_093715,D:\HXR\NIR\python_nir_project\result\model\svr\SELECTED_20260508_093715\a_\SELECTED_20260508_093715_svr.png,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,52,selected,pca,200,rf,0.9055817642246143,0.8886023308839303,0.8166481451842905,1.721120658908136,a_/SELECTED_20260508_093715,D:\HXR\NIR\python_nir_project\result\model\rf\SELECTED_20260508_093715\a_\SELECTED_20260508_093715_rf.png,"{""min_samples_leaf"": 5, ""n_estimators"": 100}"
a*,53,selected,pca,200,gpr,1.0,7.17948894530675e-11,0.8828311814391883,1.3758614078941716,a_/SELECTED_20260508_093715,D:\HXR\NIR\python_nir_project\result\model\gpr\SELECTED_20260508_093715\a_\SELECTED_20260508_093715_gpr.png,"{""kernel"": ""matern32""}"
a*,54,selected,pca,200,knn,1.0,0.0,0.8114746191853652,1.7452336459255855,a_/SELECTED_20260508_093715,D:\HXR\NIR\python_nir_project\result\model\knn\SELECTED_20260508_093715\a_\SELECTED_20260508_093715_knn.png,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,55,selected,pca,200,cnn,0.7628001542364381,1.4084346748348935,0.874226475683473,1.425487058796709,a_/SELECTED_20260508_093715,D:\HXR\NIR\python_nir_project\result\model\cnn\SELECTED_20260508_093715\a_\SELECTED_20260508_093715_cnn.png,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""max_iter"": 1000}"
a*,56,selected,pca,200,xgb,0.9849749176496807,0.35447689913217784,0.8897929525866426,1.334361022012884,a_/SELECTED_20260508_093715,D:\HXR\NIR\python_nir_project\result\model\xgb\SELECTED_20260508_093715\a_\SELECTED_20260508_093715_xgb.png,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,57,selected,corr_topk,20,pls,0.7274696591568095,1.50968707582314,0.7550452017597671,1.9893520196580596,a_/SELECTED_20260508_100251,D:\HXR\NIR\python_nir_project\result\model\pls\SELECTED_20260508_100251\a_\SELECTED_20260508_100251_pls.png,"{""cv_fold"": 10, ""n_components"": 2}"
a*,58,selected,corr_topk,20,pcr,0.7233698611934378,1.5210001426590376,0.745636652270349,2.0271968830615017,a_/SELECTED_20260508_100251,D:\HXR\NIR\python_nir_project\result\model\pcr\SELECTED_20260508_100251\a_\SELECTED_20260508_100251_pcr.png,"{""n_components"": 2}"
a*,59,selected,corr_topk,20,svr,0.7637847468701752,1.4055084999788816,0.8014210454088719,1.7911636774461484,a_/SELECTED_20260508_100251,D:\HXR\NIR\python_nir_project\result\model\svr\SELECTED_20260508_100251\a_\SELECTED_20260508_100251_svr.png,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
a*,60,selected,corr_topk,20,rf,0.839436763360176,1.158784198738329,0.796184974188661,1.8146244692639717,a_/SELECTED_20260508_100251,D:\HXR\NIR\python_nir_project\result\model\rf\SELECTED_20260508_100251\a_\SELECTED_20260508_100251_rf.png,"{""min_samples_leaf"": 10, ""n_estimators"": 200}"
